"gene"	"reaction_biocyc"	"sign"
"YOL157C"	"(1,4-alpha-D-glucosyl)(n) + H2O => (1,4-alpha-D-glucosyl)(n-1) + D-glucopyranose"	"NO"
"YNL134C"	"(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone + NADPH => homofuraneol + NADP+"	"NO"
"YDL193W"	"(2E,6E)-farnesyl diphosphate + 13 isopentenyl diphosphate => di-trans, poly-cis-polyprenyl diphosphate (C80) + 13 diphosphate"	"NO"
"YKL218C"	"(3S)-3-hydroxy-L-aspartate = oxaloacetate + ammonium"	"NO"
"YOR368W"	"(deoxynucleotides)(n) + H2O => (deoxynucleotides)(n-1) + a 2'-deoxyribonucleoside 5'-monophosphate"	"NO"
"YHR201C"	"(polyphosphate)(n) + H2O = (polyphosphate)(n-1) + phosphate"	"NO"
"YDR452W"	"(polyphosphate)(n) + H2O = (polyphosphate)(n-1) + phosphate"	"NO"
"YNL200C"	"(R)-NADHX => (S)-NADHX"	"NO"
"YNL229C"	"1-chloro-2,4-dinitrobenzene + glutathione = 2,4-dinitrophenyl-S-glutathione + chloride + H+"	"NO"
"YIR038C"	"1-chloro-2,4-dinitrobenzene + glutathione = 2,4-dinitrophenyl-S-glutathione + chloride + H+"	"NO"
"YLL060C"	"1-chloro-2,4-dinitrobenzene + glutathione = 2,4-dinitrophenyl-S-glutathione + chloride + H+"	"NO"
"YEL017W"	"1-chloro-2,4-dinitrobenzene + glutathione = 2,4-dinitrophenyl-S-glutathione + chloride + H+"	"NO"
"YGR154C"	"1-chloro-2,4-dinitrobenzene + glutathione = 2,4-dinitrophenyl-S-glutathione + chloride + H+"	"NO"
"YKR076W"	"1-chloro-2,4-dinitrobenzene + glutathione = 2,4-dinitrophenyl-S-glutathione + chloride + H+"	"NO"
"YMR210W"	"1-oleoyl-sn-glycerol + H2O => glycerol + oleate + H+"	"NO"
"YPR139C"	"1-oleyl-2-lyso-phosphatidate + oleoyl-CoA => dioleoyl phosphatidate + coenzyme A"	"NO"
