"rxnID"	"Standard_metName"	"keggid"	"chebiid"	"chebiid2"	"MNX_ID"	"Formula"	"Charge"
"Rh1"	"phospholipid"	"C00865"	"ChEBI:16247"	"CHEBI:16247"	"MNXM162702"	"NA"	"NA"
"Rh1"	"ATP"	"C00002"	"ChEBI:15422"	"CHEBI:15422"	"MNXM3"	"C10H12N5O13P3"	"-4"
"Rh1"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh1"	"phospholipid"	"C00865"	"ChEBI:16247"	"CHEBI:16247"	"MNXM162702"	"NA"	"NA"
"Rh1"	"ADP"	"C00008"	"ChEBI:16761"	"CHEBI:16761"	"MNXM7"	"C10H12N5O10P2"	"-3"
"Rh1"	"phosphate"	"C00009"	"NA"	"CHEBI:18367"	"MNXM9"	"HO4P"	"-2"
"Rh1"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh2"	"GTP"	"C00044"	"NA"	"CHEBI:15996"	"MNXM51"	"C10H12N5O14P3"	"-4"
"Rh2"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh2"	"GDP"	"C00035"	"ChEBI:17552"	"CHEBI:17552"	"MNXM30"	"C10H12N5O11P2"	"-3"
"Rh2"	"phosphate"	"C00009"	"NA"	"CHEBI:18367"	"MNXM9"	"HO4P"	"-2"
"Rh3"	"Cytochrome c"	"C00524"	"ChEBI:18070"	"CHEBI:18070"	"MNXM5749"	"NA"	"NA"
"Rh3"	"Apocytochrome c"	"C02248"	"ChEBI:15697"	"CHEBI:15697"	"MNXM2100"	"C8H12N4O4S2R4"	"0"
"Rh3"	"ferroheme b"	"C00032"	"NA"	"CHEBI:30413"	"MNXM526203"	"NA"	"NA"
"Rh4"	"(R)-acetoin"	"C00810"	"ChEBI:15686"	"CHEBI:15686"	"MNXM664"	"C4H8O2"	"0"
"Rh4"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh4"	"diacetyl"	"C00741"	"ChEBI:16583"	"CHEBI:16583"	"MNXM1467"	"C4H6O2"	"0"
"Rh4"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh5"	"H2O"	"C00001"	"NA"	"CHEBI:15377"	"MNXM2"	"H2O"	"0"
"Rh5"	"IMP"	"C00130"	"NA"	"CHEBI:17202"	"MNXM125"	"C10H11N4O8P"	"-2"
"Rh5"	"NAD"	"C00003"	"NA"	"CHEBI:15846"	"MNXM8"	"C21H26N7O14P2"	"-1"
"Rh5"	"H+"	"C00080"	"NA"	"CHEBI:15378"	"MNXM1"	"H"	"1"
"Rh5"	"NADH"	"C00004"	"ChEBI:16908"	"CHEBI:16908"	"MNXM10"	"C21H27N7O14P2"	"-2"
"Rh5"	"xanthosine-5-phosphate"	"C00655"	"NA"	"CHEBI:15652"	"MNXM298"	"C10H11N4O9P"	"-2"
"Rh6"	"dAMP"	"C00360"	"NA"	"CHEBI:17713"	"MNXM432"	"C10H12N5O6P"	"-2"
"Rh6"	"dCMP"	"C00239"	"NA"	"CHEBI:15918"	"MNXM266"	"C9H12N3O7P"	"-2"
"Rh6"	"dGMP"	"C00362"	"NA"	"CHEBI:16192"	"MNXM546"	"C10H12N5O7P"	"-2"
"Rh6"	"dTMP"	"C00364"	"NA"	"CHEBI:17013"	"MNXM257"	"C10H13N2O8P"	"-2"
"Rh6"	"DNA"	"C00039"	"ChEBI:16991"	"CHEBI:16991"	"MNXM634"	"NA"	"NA"
"Rh7"	"N-acyl-L-alpha-aminoacyl-tRNA"	"NA"	"NA"	"NA"	NA	NA	NA
