"ID0"	"reaction"	"subsystem"	"reaction0"	"rxnID"
"Rh1"	"a phospholipid[in] + ATP + H2O => a phospholipid[out] + ADP + phosphate + H(+)"	"phospholipids transport"	"a phospholipid[in] + atp + h2o => a phospholipid[out] + adp + phosphate + h(+)"	"NA"
"Rh2"	"GTP + H2O = GDP + phosphate"	"Nucleotide Salvage Pathway from e.coli"	"gtp + h2o = gdp + phosphate"	"NA"
"Rh3"	"Cytochrome c <=> Apocytochrome c + Heme"	"Porphyrin and chlorophyll metabolism"	"cytochrome c <=> apocytochrome c + heme"	"rn:R02480"
"Rh4"	"(R)-acetoin + NAD(+) <=> diacetyl + NADH"	"Butanoate metabolism"	"(r)-acetoin + nad(+) <=> diacetyl + nadh"	"NA"
"Rh5"	"H2O + IMP + NAD(+) <=> H(+) + NADH + XMP"	"Purine metabolism"	"h2o + imp + nad(+) <=> h(+) + nadh + xmp"	"NA"
"Rh6"	"0.0036 dAMP [cytoplasm] + 0.0024 dCMP [cytoplasm] + 0.0024 dGMP [cytoplasm] + 0.0036 dTMP [cytoplasm] => DNA [cytoplasm]"	"DNA replication"	"0.0036 damp [cytoplasm] + 0.0024 dcmp [cytoplasm] + 0.0024 dgmp [cytoplasm] + 0.0036 dtmp [cytoplasm] => dna [cytoplasm]"	"NA"
"Rh7"	"N-acyl-L-alpha-aminoacyl-tRNA + H2O <=> an N-acyl-L-amino acid + H(+) + tRNA"	"other"	"n-acyl-l-alpha-aminoacyl-trna + h2o <=> an n-acyl-l-amino acid + h(+) + trna"	"NA"
"Rh8"	"ATP + L-glutamyl-tRNA(Gln) + L-glutamine <=> ADP + phosphate + L-glutaminyl-tRNA(Gln) + L-glutamate"	"Aminoacyl-tRNA biosynthesis"	"atp + l-glutamyl-trna(gln) + l-glutamine <=> adp + phosphate + l-glutaminyl-trna(gln) + l-glutamate"	"NA"
"Rh9"	"Dolichyl phosphate D-mannose + G00006 <=> Dolichyl phosphate + G10595"	"N-Glycan biosynthesis"	"dolichyl phosphate d-mannose + g00006 <=> dolichyl phosphate + g10595"	"rn:R06258"
"Rh10"	"Met-Ala + H2O <=> Met + Ala"	"other"	"met-ala + h2o <=> met + ala"	"NA"
