"#"	"ID"	"NAME"	"EQUATION"	"EC-NUMBER"	"GENE ASSOCIATION"	"LOWER BOUND"	"UPPER BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT ID"	"NOTE"	"REFERENCE"	"CONFIDENCE SCORE"	"source"
NA	"R00026"	"cellobiose glucohydrolase"	"H2O[s] + Cellobiose[s] <=> 2 beta-D-Glucose[s]"	"ec-code/3.2.1.21"	"1063-augustus_masked-CMG_6-37743"	-1000	1000	NA	NA	"kegg.orthology/K05349"	NA	NA	NA	NA	NA	"KEGG"
NA	"R00748"	"ethanolamine-phosphate phosphate-lyase (deaminating; acetaldehyde-forming)"	"H2O[s] + Ethanolamine phosphate[s] <=> Orthophosphate[s] + Ammonia[s] + Acetaldehyde[s]"	"ec-code/4.2.3.2"	"979-augustus_masked-BCD_8-12448"	-1000	1000	NA	NA	"kegg.pathway/rn00564;kegg.orthology/K14286"	"Glycerophospholipid metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R01101"	"melibiose galactohydrolase"	"H2O[s] + Melibiose[s] => D-Glucose[s] + D-Galactose[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	0	1000	NA	NA	"kegg.pathway/rn00052;kegg.orthology/K07407"	"Galactose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R01103"	"Raffinose galactohydrolase"	"H2O[s] + Raffinose[s] => Sucrose[s] + D-Galactose[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	0	1000	NA	NA	"kegg.pathway/rn00052;kegg.orthology/K07407"	"Galactose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R01104"	"Galactosylglycerol galactohydrolase"	"H2O[s] + 3-beta-D-Galactosyl-sn-glycerol[s] <=> Glycerol[s] + D-Galactose[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	-1000	1000	NA	NA	"kegg.pathway/rn00052;kegg.orthology/K07407"	"Galactose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R01157"	"Agmatine amidinohydrolase"	"H2O[s] + Agmatine[s] <=> Urea[s] + Putrescine[s]"	"ec-code/3.5.3.11"	"7-EC1118_1F14_0089g"	-1000	1000	NA	NA	"kegg.pathway/rn00330;kegg.pathway/M00133;kegg.orthology/K01480"	"Arginine and proline metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R01194"	"3-O-alpha-D-Galactosyl-1D-myo-inositol galactohydrolase;"	"H2O[s] + alpha-D-Galactosyl-(1->3)-1D-myo-inositol[s] <=> D-Galactose[s] + myo-Inositol[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	-1000	1000	NA	NA	"kegg.pathway/rn00052;kegg.orthology/K07407"	"Galactose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R01329"	"Epimelibiose galactohydrolase"	"H2O[s] + Epimelibiose[s] <=> D-Galactose[s] + D-Mannose[s]"	"ec-code/3.2.1.22"	"1083-augustus_masked-BPL_2-7584 or 49-MEL1-R.14846- or 905-augustus_masked-BIL_3-4712"	-1000	1000	NA	NA	"kegg.pathway/rn00052;kegg.orthology/K07407"	"Galactose metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R01408"	"formamide hydro-lyase (cyanide-forming)"	"Formamide[s] => H2O[s] + Hydrogen cyanide[s]"	"ec-code/4.2.1.66"	"162-augustus_masked-2356-ARB_2"	0	1000	NA	NA	"kegg.pathway/rn00460;kegg.orthology/K10675"	"Cyanoamino acid metabolism"	NA	NA	NA	NA	"KEGG"
NA	"R02050"	"(R)-3-Amino-2-methylpropanoate:pyruvate aminotransferase"	"Pyruvate[s] + (R)-3-Amino-2-methylpropanoate[s] <=> L-Alanine[s] + 2-Methyl-3-oxopropanoate[s]"	"ec-code/2.6.1.40"	"979-augustus_masked-BCD_8-12448"	-1000	1000	NA	NA	"kegg.pathway/rn00280;kegg.orthology/K00827"	"Valine, leucine and isoleucine degradation"	NA	NA	NA	NA	"KEGG"
NA	"R02558"	"(R)-Prunasin beta-D-glucohydrolase"	"H2O[s] + Prunasin[s] <=> D-Glucose[s] + Mandelonitrile[s]"	"ec-code/3.2.1.21;ec-code/3.2.1.118"	"1063-augustus_masked-CMG_6-37743"	-1000	1000	NA	NA	"kegg.pathway/rn00460;kegg.pathway/rn01110;kegg.orthology/K05349"	"Cyanoamino acid metabolism"	NA	NA	NA	NA	"KEGG"
