"","masterID","formula","EC","keggID"
"1","10000","H2O + pentanamide => NH4(+) + pentanoate","3.5.1.50","R02938"
"2","10000","NH4(+) + pentanoate => H2O + pentanamide","3.5.1.50","R02938"
"3","10004","benzyl isothiocyanate => benzyl thiocyanate","5.99.1.1","R04010"
"4","10004","benzyl thiocyanate => benzyl isothiocyanate","5.99.1.1","R04010"
"5","10008","[protein]-dithiol + an hydroperoxide => [protein]-disulfide + an alcohol + H2O","1.11.1.15","R07180"
"6","10008","[protein]-disulfide + an alcohol + H2O => [protein]-dithiol + an hydroperoxide","1.11.1.15","R07180"
"7","10012","(R)-6-hydroxynicotine + H2O + O2 => 6-hydroxypseudooxynicotine + H2O2","1.5.3.6","R07170"
"8","10012","6-hydroxypseudooxynicotine + H2O2 => (R)-6-hydroxynicotine + H2O + O2","1.5.3.6","R07170"
"9","10016","O-sinapoylcholine + H2O => choline + H(+) + sinapate","3.1.1.49","R02381"
"10","10016","choline + H(+) + sinapate => O-sinapoylcholine + H2O","3.1.1.49","R02381"
"11","10020","L-saccharopine + H2O + NADP(+) => (S)-2-amino-6-oxohexanoate + L-glutamate + H(+) + NADPH","1.5.1.10","R02315"
"12","10020","(S)-2-amino-6-oxohexanoate + L-glutamate + H(+) + NADPH => L-saccharopine + H2O + NADP(+)","1.5.1.10","R02315"
"13","10024","S-adenosyl-L-methionine + [histone]-L-lysine => S-adenosyl-L-homocysteine + [histone]-N(6)-methyl-L-lysine + H(+)","2.1.1.43","R03938"
"14","10024","S-adenosyl-L-homocysteine + [histone]-N(6)-methyl-L-lysine + H(+) => S-adenosyl-L-methionine + [histone]-L-lysine","2.1.1.43","R03938"
"15","10028","D-glutamate + H2O + O2 => 2-oxoglutarate + H2O2 + NH4(+)","1.4.3.7","R00279"
"16","10028","2-oxoglutarate + H2O2 + NH4(+) => D-glutamate + H2O + O2","1.4.3.7","R00279"
"17","10036","4-hydroxy-3-methoxy-benzenemethanol + O2 => 4-hydroxy 3-methoxybenzaldehyde + H2O2","1.1.3.38","R02877"
"18","10036","4-hydroxy 3-methoxybenzaldehyde + H2O2 => 4-hydroxy-3-methoxy-benzenemethanol + O2","1.1.3.38","R02877"
"19","10040","adenosine 3',5'-bisphosphate + H2O => AMP + phosphate","3.1.3.7","R00188"
"20","10040","AMP + phosphate => adenosine 3',5'-bisphosphate + H2O","3.1.3.7","R00188"
"21","10044","cyclohexanol + NAD(+) => cyclohexanone + H(+) + NADH","1.1.1.245","R02229"
"22","10044","cyclohexanone + H(+) + NADH => cyclohexanol + NAD(+)","1.1.1.245","R02229"
"23","10048","O-acetyl-L-homoserine + methanethiol => L-methionine + acetate + H(+)","2.5.1.49","R00651"
"24","10048","L-methionine + acetate + H(+) => O-acetyl-L-homoserine + methanethiol","2.5.1.49","R00651"
"25","10056","(S)-3-aminobutanoyl-CoA => (2E)-butenoyl-CoA + NH4(+)","4.3.1.14","R03030"
"26","10056","(2E)-butenoyl-CoA + NH4(+) => (S)-3-aminobutanoyl-CoA","4.3.1.14","R03030"
"27","10060","D-tryptophan + acetyl-CoA => N-acetyl-D-tryptophan + CoA + H(+)","2.3.1.34","R02481"
"28","10060","N-acetyl-D-tryptophan + CoA + H(+) => D-tryptophan + acetyl-CoA","2.3.1.34","R02481"
