"rxnID"	"name"	"specie"	"id"	"type"	"MetaID"	"note"
"r_0163"	"ethanol[c]"	"s1"	"sa1"	"reactant"	"CDMT00001"	"base"
"r_0163"	"acetaldehyde[c]"	"s2"	"sa2"	"product"	"CDMT00002"	"base"
"r_0165"	"acetaldehyde[m]"	"s3"	"sa3"	"reactant"	"CDMT00003"	"base"
"r_0165"	"ethanol[m]"	"s4"	"sa4"	"product"	"CDMT00004"	"base"
"r_0173"	"acetaldehyde[c]"	"s2"	"sa2"	"reactant"	"CDMT00002"	"base"
"r_0173"	"acetate[c]"	"s5"	"sa5"	"product"	"CDMT00005"	"base"
"r_0174"	"acetaldehyde[m]"	"s3"	"sa3"	"reactant"	"CDMT00003"	"base"
"r_0174"	"acetate[m]"	"s6"	"sa6"	"product"	"CDMT00006"	"base"
"r_0322"	"D-fructose 1-phosphate[c]"	"s7"	"sa7"	"reactant"	"CDMT00007"	"base"
"r_0322"	"D-glyceraldehyde[c]"	"s8"	"sa8"	"product"	"CDMT00008"	"base"
"r_0322"	"dihydroxyacetone phosphate[c]"	"s9"	"sa9"	"product"	"CDMT00009"	""
"r_0356"	"1,3-bisphospho-D-glycerate[c]"	"s10"	"sa10"	"reactant"	"CDMT000010"	"base"
"r_0356"	"2,3-bisphospho-D-glyceric acid[c]"	"s11"	"sa11"	"product"	"CDMT000011"	"base"
"r_0366"	"2-phospho-D-glyceric acid[c]"	"s12"	"sa12"	"reactant"	"CDMT000012"	"base"
"r_0366"	"phosphoenolpyruvate[c]"	"s13"	"sa13"	"product"	"CDMT000013"	"base"
"r_0449"	"D-fructose 1,6-bisphosphate[c]"	"s14"	"sa14"	"reactant"	"CDMT000014"	"base"
"r_0449"	"D-fructose 6-phosphate[c]"	"s15"	"sa15"	"product"	"CDMT000015"	"base"
"r_0450"	"D-fructose 1,6-bisphosphate[c]"	"s14"	"sa14"	"reactant"	"CDMT000014"	"base"
"r_0450"	"dihydroxyacetone phosphate[c]"	"s9"	"sa9"	"product"	"CDMT00009"	"base"
"r_0450"	"glyceraldehyde 3-phosphate[c]"	"s16"	"sa16"	"product"	"CDMT000016"	""
"r_0467"	"D-glucose 6-phosphate[c]"	"s17"	"sa17"	"reactant"	"CDMT000017"	"base"
"r_0467"	"D-fructose 6-phosphate[c]"	"s15"	"sa15"	"product"	"CDMT000015"	"base"
"r_0486"	"glyceraldehyde 3-phosphate[c]"	"s16"	"sa16"	"reactant"	"CDMT000016"	"base"
"r_0486"	"1,3-bisphospho-D-glycerate[c]"	"s10"	"sa10"	"product"	"CDMT000010"	"base"
"r_0533"	"D-fructose[c]"	"s18"	"sa18"	"reactant"	"CDMT000018"	"base"
"r_0533"	"D-fructose 6-phosphate[c]"	"s15"	"sa15"	"product"	"CDMT000015"	"base"
"r_0534"	"D-glucose[c]"	"s19"	"sa19"	"reactant"	"CDMT000019"	"base"
"r_0534"	"D-glucose 6-phosphate[c]"	"s17"	"sa17"	"product"	"CDMT000017"	"base"
"r_0535"	"D-mannose[c]"	"s20"	"sa20"	"reactant"	"CDMT000020"	"base"
"r_0535"	"D-mannose 6-phosphate[c]"	"s21"	"sa21"	"product"	"CDMT000021"	"base"
"r_0884"	"oxaloacetate[c]"	"s22"	"sa22"	"reactant"	"CDMT000022"	"base"
"r_0884"	"phosphoenolpyruvate[c]"	"s13"	"sa13"	"product"	"CDMT000013"	"base"
"r_0886"	"D-fructose 6-phosphate[c]"	"s15"	"sa15"	"reactant"	"CDMT000015"	"base"
"r_0886"	"D-fructose 1,6-bisphosphate[c]"	"s14"	"sa14"	"product"	"CDMT000014"	"base"
"r_0887"	"sedoheptulose 7-phosphate[c]"	"s23"	"sa23"	"reactant"	"CDMT000023"	"base"
"r_0887"	"sedoheptulose 1,7-bisphosphate[c]"	"s24"	"sa24"	"product"	"CDMT000024"	"base"
"r_0892"	"1,3-bisphospho-D-glycerate[c]"	"s10"	"sa10"	"reactant"	"CDMT000010"	"base"
"r_0892"	"3-phosphonato-D-glycerate(3<U+201A><U+00E0><U+00ED>)[c]"	"s25"	"sa25"	"product"	"CDMT000025"	"base"
"r_0893"	"3-phosphonato-D-glycerate(3<U+201A><U+00E0><U+00ED>)[c]"	"s25"	"sa25"	"reactant"	"CDMT000025"	"base"
"r_0893"	"2-phospho-D-glyceric acid[c]"	"s12"	"sa12"	"product"	"CDMT000012"	"base"
"r_0959"	"pyruvate[c]"	"s26"	"sa26"	"reactant"	"CDMT000026"	"base"
"r_0959"	"acetaldehyde[c]"	"s2"	"sa2"	"product"	"CDMT00002"	"base"
"r_0960"	"acetaldehyde[c]"	"s2"	"sa2"	"reactant"	"CDMT00002"	""
"r_0960"	"pyruvate[c]"	"s26"	"sa26"	"reactant"	"CDMT000026"	"base"
"r_0960"	"(R)-acetoin[c]"	"s27"	"sa27"	"product"	"CDMT000027"	"base"
"r_0961"	"pyruvate[m]"	"s28"	"sa28"	"reactant"	"CDMT000028"	"base"
"r_0961"	"acetyl-CoA[m]"	"s29"	"sa29"	"product"	"CDMT000029"	"base"
"r_0962"	"phosphoenolpyruvate[c]"	"s13"	"sa13"	"reactant"	"CDMT000013"	"base"
"r_0962"	"pyruvate[c]"	"s26"	"sa26"	"product"	"CDMT000026"	"base"
"r_0990"	"sedoheptulose 1,7-bisphosphate[c]"	"s24"	"sa24"	"reactant"	"CDMT000024"	"base"
"r_0990"	"D-erythrose 4-phosphate[c]"	"s30"	"sa30"	"product"	"CDMT000030"	"base"
"r_0990"	"dihydroxyacetone phosphate[c]"	"s9"	"sa9"	"product"	"CDMT00009"	""
"r_1054"	"dihydroxyacetone phosphate[c]"	"s9"	"sa9"	"reactant"	"CDMT00009"	"base"
"r_1054"	"glyceraldehyde 3-phosphate[c]"	"s16"	"sa16"	"product"	"CDMT000016"	"base"
"r_2115"	"acetaldehyde[c]"	"s2"	"sa2"	"reactant"	"CDMT00002"	"base"
"r_2115"	"ethanol[c]"	"s1"	"sa1"	"product"	"CDMT00001"	"base"
"r_2116"	"acetaldehyde[c]"	"s2"	"sa2"	"reactant"	"CDMT00002"	"base"
"r_2116"	"acetate[c]"	"s5"	"sa5"	"product"	"CDMT00005"	"base"
"r_0280"	"cis-aconitate[m]"	"s31"	"sa31"	"reactant"	"CDMT000031"	"base"
"r_0280"	"isocitrate[m]"	"s32"	"sa32"	"product"	"CDMT000032"	"base"
"r_0300"	"acetyl-CoA[m]"	"s29"	"sa29"	"reactant"	"CDMT000029"	""
"r_0300"	"oxaloacetate[m]"	"s33"	"sa33"	"reactant"	"CDMT000033"	"base"
"r_0300"	"citrate[m]"	"s34"	"sa34"	"product"	"CDMT000034"	"base"
"r_0301"	"acetyl-CoA[p]"	"s35"	"sa35"	"reactant"	"CDMT000035"	""
"r_0301"	"oxaloacetate[p]"	"s36"	"sa36"	"reactant"	"CDMT000036"	"base"
"r_0301"	"citrate[p]"	"s37"	"sa37"	"product"	"CDMT000037"	"base"
"r_0302"	"citrate[m]"	"s34"	"sa34"	"reactant"	"CDMT000034"	"base"
"r_0302"	"cis-aconitate[m]"	"s31"	"sa31"	"product"	"CDMT000031"	"base"
"r_0303"	"citrate[c]"	"s38"	"sa38"	"reactant"	"CDMT000038"	"base"
"r_0303"	"cis-aconitate[c]"	"s39"	"sa39"	"product"	"CDMT000039"	"base"
"r_0451"	"fumarate[m]"	"s40"	"sa40"	"reactant"	"CDMT000040"	"base"
"r_0451"	"(S)-malate[m]"	"s41"	"sa41"	"product"	"CDMT000041"	"base"
