ID	Abbreviation	Description_new	Description	GPR	KEGG ID	note	IsReversible	Subsystem_new	Subsystem_new2
1	R_EX_etoh_e	M_etoh_e <=>	Ethanol exchange	NA	NA	NA	FALSE	Exchange	NA
5	R_EX_pi_e	M_pi_e <=>	Phosphate exchange	NA	NA	NA	FALSE	Exchange	NA
13	R_EX_o2_e	M_o2_e <=>	O2 exchange	NA	NA	NA	FALSE	Exchange	NA
42	R_EX_acald_e	M_acald_e <=>	Acetaldehyde exchange	NA	NA	NA	FALSE	Exchange	NA
125	R_EX_glyc_e	M_glyc_e <=>	Glycerol exchange	NA	NA	NA	FALSE	Exchange	NA
149	R_EX_pyr_e	M_pyr_e <=>	Pyruvate exchange	NA	NA	NA	FALSE	Exchange	NA
151	R_EX_h_e	M_h_e <=>	H+ exchange	NA	NA	NA	TRUE	Exchange	NA
164	R_EX_glc_D_e	M_glc_D_e <=>	EX_glc_D_e	NA	NA	NA	FALSE	Exchange	NA
165	R_h_exportm	M_h_m <=>	export of mitochondrial protons to nirvana	NA	NA	NA	TRUE	Exchange	NA
166	R_EX_co2_e	M_co2_e <=>	CO2 exchange	NA	NA	NA	FALSE	Exchange	NA
167	R_h_exportc	M_h_c <=>	export of cytosolic protons to nirvana	NA	NA	NA	TRUE	Exchange	NA
174	R_EX_ac_e	M_ac_e <=>	Acetate exchange	NA	NA	NA	FALSE	Exchange	NA
181	R_EX_h2o_e	M_h2o_e <=>	H2O exchange	NA	NA	NA	FALSE	Exchange	NA
185	R_EX_h2s_e	M_h2s_e <=>	Hydrogen sulfide exchange	NA	NA	NA	FALSE	Exchange	NA
206	R_EX_tre_e	M_tre_e <=>	Trehalose exchange	NA	NA	NA	FALSE	Exchange	NA
226	R_EX_nh4_e	M_nh4_e <=>	Ammonia exchange	NA	NA	NA	FALSE	Exchange	NA
257	R_EX_succ_e	M_succ_e <=>	Succinate exchange	NA	NA	NA	FALSE	Exchange	NA
266	R_EX_so4_e	M_so4_e <=>	Sulfate exchange	NA	NA	NA	FALSE	Exchange	NA
3	R_dtmpSYN	M_dcmp_c + M_h2o_c + 2 M_h_c + M_mlthf_c + M_nadph_c <=> M_dtmp_c + M_nadp_c + M_nh4_c + M_thf_c	dtmpSYN	NA	NA	NA	FALSE	growth	NA
14	R_biomass	1.13 M_13BDglcn_c + 0.46 M_ala_L_c + 0.05 M_amp_c + 0.16 M_arg_L_c + 0.10 M_asn_L_c + 0.30 M_asp_L_c + 59.28 M_atp_c + 0.04 M_cmp_c + 0.01 M_cys_L_c + 0.00 M_damp_c + 0.00 M_dcmp_c + 0.00 M_dgmp_c + 0.00 M_dtmp_c + 0.00 M_ergst_c + 0.11 M_gln_L_c + 0.30 M_glu_L_c + 0.29 M_gly_c + 0.52 M_glycogen_c + 0.05 M_gmp_c + 59.28 M_h2o_c + 0.07 M_his_L_c + 0.19 M_ile_L_c + 0.30 M_leu_L_c + 0.29 M_lys_L_c + 0.81 M_mannan_c + 0.05 M_met_L_c + 0.00 M_pa_SC_c + 0.00 M_pc_SC_c + 0.00 M_pe_SC_c + 0.13 M_phe_L_c + 0.16 M_pro_L_c + 0.00 M_ps_SC_c + 0.00 M_ptd1ino_SC_c + 0.19 M_ser_L_c + 0.02 M_so4_c + 0.19 M_thr_L_c + 0.02 M_tre_c + 0.00 M_triglyc_SC_c + 0.03 M_trp_L_c + 0.10 M_tyr_L_c + 0.06 M_ump_c + 0.26 M_val_L_c + 0.00 M_zymst_c <=> 59.28 M_adp_c + 58.72 M_h_c + 59.28 M_pi_c	biomass	NA	NA	NA	FALSE	growth	NA
34	R_peSYN	M_h2o_c + M_h_c + M_ps_SC_c <=> M_co2_c + M_pe_SC_c	peSYN	NA	NA	NA	FALSE	growth	NA
53	R_ampSYN	M_10fthf_c + M_aicar_c + M_asp_L_c + M_atp_c <=> M_adp_c + M_amp_c + M_fum_c + M_h2o_c + 2 M_h_c + M_pi_c + M_thf_c	ampSYN	NA	NA	NA	FALSE	growth	NA
69	R_dgmpSYN	M_gmp_c + M_h_c + M_nadph_c <=> M_dgmp_c + M_h2o_c + M_nadp_c	dgmpSYN	NA	NA	NA	FALSE	growth	NA
91	R_pcSYN	6 M_atp_c + 6 M_h2o_c + 3 M_met_L_c + M_pe_SC_c <=> 3 M_adp_c + 3 M_amp_c + 6 M_h_c + 3 M_hcys_L_c + M_pc_SC_c + 3 M_pi_c + 3 M_ppi_c	pcSYN	NA	NA	NA	FALSE	growth	NA
97	R_cmpSYN	M_atp_c + M_nh4_c + M_ump_c <=> M_adp_c + M_cmp_c + 2 M_h_c + M_pi_c	cmpSYN	NA	NA	NA	FALSE	growth	NA
