"Abbreviation"	"Description"	"Reaction"	"Description_new"	"GPR"	"Lower bound"	"Upper bound"	"Objective"	"EC Number"	"References"	"KEGG ID"	"Subsystem_new"	"Subsystem_early_version"	"system_consistence"	"reaction_early_version"	"subsystem_consistence"	"reaction_consistence"
"r_0001"	"(R)-lactate:ferricytochrome-c 2-oxidoreductase"	"s_0025[c] + 2 s_0709[m]  -> 2 s_0710[m] + s_1399[c]"	"         "	"(( YDL174C and YEL039C ) or ( YDL174C and YJR048W ) or ( YEL039C and YEL071W ) or ( YEL071W and YJR048W ))"	"0"	"1000"	"0"	"1.1.2.4; 1.1.99.-"	NA	"R00197"	"pyruvate metabolism ( sce00620 )"	"pyruvate metabolism ( sce00620 )"	TRUE	"(R)-lactate[c] + 2 ferricytochrome c[m]  -> 2 ferrocytochrome c[m] + pyruvate[c]"	TRUE	FALSE
"r_0002"	"(R)-lactate:ferricytochrome-c 2-oxidoreductase"	"s_0027[m] + 2 s_0709[m]  -> 2 s_0710[m] + s_1401[m]"	"         "	"(( YDL178W and YEL039C ) or ( YDL178W and YJR048W ))"	"0"	"1000"	"0"	"1.1.2.4; 1.1.99.-"	NA	"R00197"	"pyruvate metabolism ( sce00620 )"	"pyruvate metabolism ( sce00620 )"	TRUE	"(R)-lactate[m] + 2 ferricytochrome c[m]  -> 2 ferrocytochrome c[m] + pyruvate[m]"	TRUE	FALSE
"r_0003"	"(R,R)-butanediol dehydrogenase"	"s_0035[c] + s_1198[c]  <=> s_0020[c] + s_0794[c] + s_1203[c]"	"         "	"YAL060W"	"-1000"	"1000"	"0"	"1.1.1.4"	NA	"R02946"	"butanoate metabolism ( sce00650 )"	"acetoin and butanediol biosynthesis"	FALSE	"(R,R)-2,3-butanediol[c] + NAD[c]  <=> (R)-acetoin[c] + H+[c] + NADH[c]"	FALSE	FALSE
"r_0004"	"(S)-lactate:ferricytochrome-c 2-oxidoreductase"	"s_0063[c] + 2 s_0709[m]  -> 2 s_0710[m] + s_1399[c]"	"         "	"(( YEL039C and YML054C ) or ( YJR048W and YML054C ))"	"0"	"1000"	"0"	"1.1.2.3"	NA	"R00196"	"pyruvate metabolism ( sce00620 )"	"pyruvate metabolism ( sce00620 )"	TRUE	"(S)-lactate[c] + 2 ferricytochrome c[m]  -> 2 ferrocytochrome c[m] + pyruvate[c]"	TRUE	FALSE
"r_0005"	"1,3-beta-glucan synthase"	"s_1543[c]  -> s_0001[ce] + s_0794[c] + s_1538[c]"	"       "	"( YGR032W or YMR306W or ( YLR342W and YCR034W ))"	"0"	"1000"	"0"	"2.4.1.34"	"7649185"	"R03118"	"starch and sucrose metabolism ( sce00500 )"	"starch and sucrose metabolism ( sce00500 )"	TRUE	"UDP-D-glucose[c]  -> (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]"	TRUE	FALSE
"r_0006"	"1,6-beta-glucan synthase"	"s_1543[c]  -> s_0004[ce] + s_0794[c] + s_1538[c]"	"       "	"( YGR143W or YPR159W )"	"0"	"1000"	"0"	NA	"8321211"	NA	"starch and sucrose metabolism ( sce00500 )"	"starch and sucrose metabolism ( sce00500 )"	TRUE	"UDP-D-glucose[c]  -> (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]"	TRUE	FALSE
"r_0007"	"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase"	"s_0077[c]  -> s_0312[c]"	"   "	"YIL020C"	"0"	"1000"	"0"	"5.3.1.16"	NA	"R04640"	"histidine metabolism ( sce00340 )"	"histidine metabolism ( sce00340 )"	TRUE	"1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide[c]  -> 5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c]"	TRUE	FALSE
"r_0012"	"1-pyrroline-5-carboxylate dehydrogenase"	"s_0119[m] + 2 s_0807[m] + s_1200[m]  <=> s_0799[m] + s_0993[m] + s_1205[m]"	"            "	"YHR037W"	"-1000"	"1000"	"0"	"1.2.1.88"	"387737"	NA	"alanine, aspartate and glutamate metabolism ( sce00250 )"	"alanine, aspartate and glutamate metabolism ( sce00250 )"	TRUE	"1-pyrroline-5-carboxylate[m] + 2 H2O[m] + NAD[m]  <=> H+[m] + L-glutamate[m] + NADH[m]"	TRUE	FALSE
"r_0013"	"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction"	"s_0311[c] + 3 s_0803[c]  -> s_0294[c] + s_0722[c] + 6 s_0794[c] + s_1322[c]"	"             "	"( YEL038W and YMR009W )"	"0"	"1000"	"0"	"1.13.11.54; 3.1.3.77"	"14506228"	NA	"cysteine and methionine metabolism ( sce00270 )"	"cysteine and methionine metabolism ( sce00270 )"	TRUE	"5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3 H2O[c]  -> 4-methylthio-2-oxobutanoate[c] + formate[c] + 6 H+[c] + phosphate[c]"	TRUE	FALSE
"r_0014"	"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase"	"s_0142[c] + s_0794[c] + s_0803[c]  -> s_0313[c] + s_0419[c]"	"         "	"YOL066C"	"0"	"1000"	"0"	"3.5.4.26; 5.4.99.28"	"9068650"	NA	"riboflavin metabolism ( sce00740 )"	"riboflavin metabolism ( sce00740 )"	TRUE	"2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c]  -> 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]"	TRUE	FALSE
