rxnID	query	formula	description	ko	pathway	pathway_name0
R06513	5-EC1118_1F14_0056g	 dTDP-glucose <=> dTDP-4-oxo-6-deoxy-D-glucose + H2O	dTDPglucose 4,6-hydro-lyase	K01710	"path:map00521;path:map00523;path:map00525;path:map01055;path:map01130"	"sce00521  Streptomycin biosynthesis;sce00523  Polyketide sugar unit biosynthesis;sce00525  Acarbose and validamycin biosynthesis;sce01055  Biosynthesis of vancomycin group antibiotics;sce01130  Biosynthesis of antibiotics"
R01157	7-EC1118_1F14_0089g	 Agmatine + H2O <=> Putrescine + Urea	Agmatine amidinohydrolase	K01480	"path:map00330;path:map01100"	"sce00330  Arginine and proline metabolism;sce01100  Metabolic pathways"
R02454	23-EC1118_1O4_6546g	 D-Mannonate + NAD+ <=> D-Fructuronate + NADH + H+	D-Mannonate:NAD+ 5-oxidoreductase	K00040	"path:map00040;path:map01100"	"sce00040  Pentose and glucuronate interconversions;sce01100  Metabolic pathways"
R07346	27-EC1118_1O4_6612g	 D-Sorbitol + NADP+ <=> L-Sorbose + NADPH + H+	D-glucitol:NADP+ oxidoreductase	K17742	path:map00051	sce00051  Fructose and mannose metabolism
R01101	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	 Melibiose + H2O <=> D-Galactose + D-Glucose	melibiose galactohydrolase	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R01103	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	 Raffinose + H2O <=> D-Galactose + Sucrose	Raffinose galactohydrolase	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R01104	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	 3-beta-D-Galactosyl-sn-glycerol + H2O <=> D-Galactose + Glycerol	Galactosylglycerol galactohydrolase	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R01194	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	 alpha-D-Galactosyl-(1->3)-1D-myo-inositol + H2O <=> myo-Inositol + D-Galactose	"3-O-alpha-D-Galactosyl-1D-myo-inositol galactohydrolase; 1-alpha-D-Galactosyl-myo-inositol galactohydrolase"	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R01329	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	 Epimelibiose + H2O <=> D-Mannose + D-Galactose	Epimelibiose galactohydrolase	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R02926	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	 Melibiitol + H2O <=> D-Sorbitol + D-Galactose	Melibiitol galactohydrolase	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R03634	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	Stachyose + H2O <=> Raffinose + D-Galactose	NONE	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R04019	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	 Digalactosylceramide + H2O <=> Galactosylceramide + D-Galactose	Digalactosylceramide galactohydrolase	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R04470	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	 Digalactosyl-diacylglycerol + H2O <=> 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol + D-Galactose	Digalactosyl-diacylglycerol galactohydrolase	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R05549	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose + H2O <=> D-Galactose + Melibiose	NONE	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R05961	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	H2O + Globotriaosylceramide <=> D-Galactose + Lactosylceramide	NONE	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R06091	"49-MEL1-R.14846-;1083-augustus_masked-BPL_2-7584"	Melibiose + H2O <=> D-Galactose + D-Glucose	NONE	K07407	"path:map00052;path:map00561;path:map00600;path:map00603;path:map01100"	"sce00052  Galactose metabolism;sce00561  Glycerolipid metabolism;sce00600  Sphingolipid metabolism;sce00603  Glycosphingolipid biosynthesis - globo and isoglobo series;sce01100  Metabolic pathways"
R00465	164-augustus_masked-2357-ARB_2	 Glycolate + NADP+ <=> Glyoxylate + NADPH + H+	glycolate:NADP+ oxidoreductase	K00090	"path:map00030;path:map00260;path:map00620;path:map00630;path:map01100;path:map01110;path:map01120"	"sce00030  Pentose phosphate pathway;sce00260  Glycine, serine and threonine metabolism;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments"
