"Gene.Name"	"Accession.1"	"Left.End.Position"	"Right.End.Position"	"Product"	"Pathways.of.gene"	"gene_standard_name"	"check"
"FYV12"	"YOR183W"	678872	679261	"Function required for Yeast Viability"	""	"YOR183W"	TRUE
"RCR2"	"YDR003W"	454122	454754	"Resistance to Congo Red"	""	"YDR003W"	TRUE
"NSG1"	"YHR133C"	370722	371597	"NSG1"	""	"YHR133C"	TRUE
"FOB1"	"YDR110W"	676102	677802	"FOrk Blocking less"	""	"YDR110W"	TRUE
"YPR011C"	"YPR011C"	583062	584042	"YPR011C"	""	"YPR011C"	TRUE
"LSM8"	"YJR022W"	469784	470113	"Like SM"	""	"YJR022W"	TRUE
"CDC43"	"CDC43"	214081	215211	"protein geranylgeranyltransferase type I"	""	"YGL155W"	FALSE
"HXT13"	"YEL069C"	21537	23231	"HeXose Transporter"	""	"YEL069C"	TRUE
"JLP1"	"YLL057C"	25756	26994	"dnaJ-Like Protein"	""	"YLL057C"	TRUE
"VTC3"	"VTC3"	514511	517018	"polyphosphate synthetase"	""	"YPL019C"	FALSE
"UFO1"	"YML088W"	92235	94241	"UV-F-box-HO"	""	"YML088W"	TRUE
"NPL4"	"YBR170C"	576344	578086	"Nuclear Protein Localization"	""	"YBR170C"	TRUE
"MEP2"	"YNL142W"	357453	358952	"MEP2"	""	"YNL142W"	TRUE
"SPO74"	"YGL170C"	184153	185394	"SPOrulation"	""	"YGL170C"	TRUE
"PNS1"	"YOR161C"	636939	638558	"pH Nine Sensitive"	""	"YOR161C"	TRUE
"SHS1"	"YDL225W"	52445	54100	"Seventh Homolog of Septin"	""	"YDL225W"	TRUE
"GGA2"	"YHR108W"	328303	330060	"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein"	""	"YHR108W"	TRUE
"SLU7"	"YDR088C"	618497	619645	"Synergistic Lethal with U5 snRNA"	""	"YDR088C"	TRUE
"KAR9"	"YPL269W"	33013	34947	"KARyogamy"	""	"YPL269W"	TRUE
"HXT8"	"YJL214W"	26887	28596	"HeXose Transporter"	""	"YJL214W"	TRUE
"HIS2"	"HIS2"	203743	204750	"histidinolphosphatase"	"histidine biosynthesis"	"YFR025C"	FALSE
"FRD1"	"YEL047C"	65385	66797	"Fumarate ReDuctase"	""	"YEL047C"	TRUE
"GRC3"	"YLL035W"	68580	70478	"GRC3"	""	"YLL035W"	TRUE
"MET7"	"MET7"	786995	788641	"folylpolyglutamate synthetase"	"folate polyglutamylation"	"YOR241W"	FALSE
"MFT1"	"YML062C"	147505	148683	"Mitochondrial Fusion Targeting"	""	"YML062C"	TRUE
"YSW1"	"YBR148W"	537876	539705	"YSW1"	""	"YBR148W"	TRUE
"DCP2"	"YNL118C"	402652	405564	"mRNA DeCaPping"	""	"YNL118C"	TRUE
"RPL9A"	"YGL147C"	227754	228329	"Ribosomal Protein of the Large subunit"	""	"YGL147C"	TRUE
"RUP1"	"YOR138C"	584309	586324	"Rsp5-Ubp2 interacting Protein"	""	"YOR138C"	TRUE
"ACK1"	"YDL203C"	96082	97953	"Activator of C Kinase 1"	""	"YDL203C"	TRUE
"NAM8"	"YHR086W"	278153	279724	"Nuclear Accommodation of Mitochondria"	""	"YHR086W"	TRUE
"FMP16"	"YDR070C"	588098	588379	"Found in Mitochondrial Proteome"	""	"YDR070C"	TRUE
"RBD2"	"YPL246C"	84509	85297	"RBD2"	""	"YPL246C"	TRUE
"RPS22A"	"YJL190C"	74910	75302	"Ribosomal Protein of the Small subunit"	""	"YJL190C"	TRUE
"SER3"	"SER3"	322686	324095	"3-phosphoglycerate dehydrogenase"	"superpathway of serine and glycine biosynthesis I // serine biosynthesis from 3-phosphoglycerate"	"YER081W"	FALSE
"MMS21"	"YEL019C"	120498	121301	"Methyl MethaneSulfonate sensitivity"	""	"YEL019C"	TRUE
"EMC6"	"YLL014W"	121322	121648	"ER Membrane protein Complex"	""	"YLL014W"	TRUE
"IAH1"	"IAH1"	559961	560677	"isoamyl acetate-hydrolyzing esterase"	""	"YOR126C"	FALSE
"YMD8"	"YML038C"	202775	204103	"YMD8"	""	"YML038C"	TRUE
"VMA2"	"YBR127C"	491269	492822	"Vacuolar Membrane Atpase"	"superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine nucleotides <i>de novo</i> biosynthesis // adenosine ribonucleotides <i>de novo</i> biosynthesis"	"YBR127C"	TRUE
"YPT53"	"YNL093W"	449868	450530	"Yeast Protein Two"	""	"YNL093W"	TRUE
"SOH1"	"YGL127C"	270392	270775	"Suppressor Of Hpr1"	""	"YGL127C"	TRUE
"AZF1"	"YOR113W"	534075	536819	"Asparagine-rich Zinc-Finger"	""	"YOR113W"	TRUE
"YDL183C"	"YDL183C"	130871	131833	"Mitochondrial K+/H+ exchange Related"	""	"YDL183C"	TRUE
"SSZ1"	"YHR064C"	225525	227141	"SSZ1"	""	"YHR064C"	TRUE
"BAP3"	"YDR046C"	548762	550576	"Branched-chain Amino acid Permease"	""	"YDR046C"	TRUE
"MMT2"	"YPL224C"	126634	128088	"Mitochondrial Metal Transporter"	""	"YPL224C"	TRUE
"HAL5"	"YJL165C"	106894	109461	"HALotolerance"	""	"YJL165C"	TRUE
"PRB1"	"PRB1"	40046	41953	"vacuolar protease B"	""	"YEL060C"	FALSE
"MHF2"	"YDL160C-A"	169366	169608	"Mph1-associated Histone-Fold protein"	""	"YDL160C-A"	TRUE
"DID2"	"YKR035W-A"	507939	508553	"Doa4-Independent Degradation"	""	"YKR035W-A"	TRUE
"MPD2"	"MPD2"	153912	154745	"protein disulfide isomerase"	""	"YOL088C"	FALSE
"TRM9"	"YML014W"	243225	244064	"tRNA (carboxymethyluridine<small><sup>34</sup></small>-5-<em>O</em>)-methyltransferase"	"tRNA methylation"	"YML014W"	TRUE
"YMC2"	"YBR104W"	449667	450656	"Yeast Mitochondrial Carrier"	""	"YBR104W"	TRUE
"MKS1"	"YNL076W"	483556	485310	"Multicopy Kinase Suppressor"	""	"YNL076W"	TRUE
"ARC1"	"YGL105W"	307437	308567	"Acyl-RNA-Complex"	""	"YGL105W"	TRUE
"VPS21"	"YOR089C"	490196	490828	"Vacuolar Protein Sorting"	""	"YOR089C"	TRUE
"MSH5"	"YDL154W"	178334	181039	"MutS Homolog"	""	"YDL154W"	TRUE
