"Gene.Name"	"Accession.1"	"gene_standard_name"	"Left.End.Position"	"Right.End.Position"	"Product"	"Pathways.of.gene"	"ec"	"reaction_biocyc"
"FYV12"	"YOR183W"	"YOR183W"	678872	679261	"Function required for Yeast Viability"	NA	NA	NA
"RCR2"	"YDR003W"	"YDR003W"	454122	454754	"Resistance to Congo Red"	NA	NA	NA
"NSG1"	"YHR133C"	"YHR133C"	370722	371597	"NSG1"	NA	NA	NA
"FOB1"	"YDR110W"	"YDR110W"	676102	677802	"FOrk Blocking less"	NA	NA	NA
"YPR011C"	"YPR011C"	"YPR011C"	583062	584042	"YPR011C"	NA	NA	NA
"LSM8"	"YJR022W"	"YJR022W"	469784	470113	"Like SM"	NA	NA	NA
"CDC43"	"CDC43"	"YGL155W"	214081	215211	"protein geranylgeranyltransferase type I"	NA	NA	"geranylgeranyl diphosphate + a [protein]-L-cysteine = a [protein]-S-geranylgeranyl-L-cysteine + diphosphate"
"HXT13"	"YEL069C"	"YEL069C"	21537	23231	"HeXose Transporter"	NA	NA	NA
"JLP1"	"YLL057C"	"YLL057C"	25756	26994	"dnaJ-Like Protein"	NA	NA	NA
"VTC3"	"VTC3"	"YPL019C"	514511	517018	"polyphosphate synthetase"	NA	NA	NA
"UFO1"	"YML088W"	"YML088W"	92235	94241	"UV-F-box-HO"	NA	NA	NA
"NPL4"	"YBR170C"	"YBR170C"	576344	578086	"Nuclear Protein Localization"	NA	NA	NA
"MEP2"	"YNL142W"	"YNL142W"	357453	358952	"MEP2"	NA	NA	NA
"SPO74"	"YGL170C"	"YGL170C"	184153	185394	"SPOrulation"	NA	NA	NA
"PNS1"	"YOR161C"	"YOR161C"	636939	638558	"pH Nine Sensitive"	NA	NA	NA
"SHS1"	"YDL225W"	"YDL225W"	52445	54100	"Seventh Homolog of Septin"	NA	NA	NA
"GGA2"	"YHR108W"	"YHR108W"	328303	330060	"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein"	NA	NA	NA
"SLU7"	"YDR088C"	"YDR088C"	618497	619645	"Synergistic Lethal with U5 snRNA"	NA	NA	NA
"KAR9"	"YPL269W"	"YPL269W"	33013	34947	"KARyogamy"	NA	NA	NA
"HXT8"	"YJL214W"	"YJL214W"	26887	28596	"HeXose Transporter"	NA	NA	NA
"HIS2"	"HIS2"	"YFR025C"	203743	204750	"histidinolphosphatase"	"histidine biosynthesis"	NA	"L-histidinol-phosphate + H2O => histidinol + phosphate"
"FRD1"	"YEL047C"	"YEL047C"	65385	66797	"Fumarate ReDuctase"	NA	NA	"succinate + NAD+ = fumarate + NADH + H+"
"GRC3"	"YLL035W"	"YLL035W"	68580	70478	"GRC3"	NA	NA	NA
"MET7"	"MET7"	"YOR241W"	786995	788641	"folylpolyglutamate synthetase"	"folate polyglutamylation"	NA	"10-formyl-tetrahydropteroyl-[γ-Glu](n) + L-glutamate + ATP => 10-formyl-tetrahydropteroyl-[γ-Glu](n+1) + ADP + phosphate;L-glutamate + tetrahydropteroyl-[γ-Glu](n) + ATP => tetrahydropteroyl-[γ-Glu](n+1) + ADP + phosphate;methylene-tetrahydropteroyl-[γ-Glu](n) + L-glutamate + ATP => methylene-tetrahydropteroyl-[γ-Glu](n+1) + ADP + phosphate"
"MFT1"	"YML062C"	"YML062C"	147505	148683	"Mitochondrial Fusion Targeting"	NA	NA	NA
"YSW1"	"YBR148W"	"YBR148W"	537876	539705	"YSW1"	NA	NA	NA
"DCP2"	"YNL118C"	"YNL118C"	402652	405564	"mRNA DeCaPping"	NA	NA	NA
"RPL9A"	"YGL147C"	"YGL147C"	227754	228329	"Ribosomal Protein of the Large subunit"	NA	NA	NA
"RUP1"	"YOR138C"	"YOR138C"	584309	586324	"Rsp5-Ubp2 interacting Protein"	NA	NA	NA
"ACK1"	"YDL203C"	"YDL203C"	96082	97953	"Activator of C Kinase 1"	NA	NA	NA
"NAM8"	"YHR086W"	"YHR086W"	278153	279724	"Nuclear Accommodation of Mitochondria"	NA	NA	NA
"FMP16"	"YDR070C"	"YDR070C"	588098	588379	"Found in Mitochondrial Proteome"	NA	NA	NA
"RBD2"	"YPL246C"	"YPL246C"	84509	85297	"RBD2"	NA	NA	NA
"RPS22A"	"YJL190C"	"YJL190C"	74910	75302	"Ribosomal Protein of the Small subunit"	NA	NA	NA
