"SGD_ID"	"Systematic_name"	"Organism"	"Standard_name"	"name"	"Brif description"	"Description"	"Qualifier"	"Function summary"	"Phenotype summary"	"panID"	"Remark"
"S000000001"	"YAL001C"	"S. cerevisiae"	"TFC3"	"Transcription Factor class C"	"Subunit of RNA polymerase III transcription initiation factor complex"	"Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)"	"Verified"	"Subunit of the transcription factor TFIIIC complex; involved in recruiting TFIIIB to chromatin for transcription of RNA genes by RNA polymerase III|uniprot_proteome=UP000002311"	"Essential gene; conditional mutants display abnormal protein distribution of condensin complex subunit proteins, Brn1p and Scc4p resulting in decreased association of these proteins with chromosomes; heterozygous null mutant shows a decreased rate of growth"	"1768-YAL001C"	NA
"S000000002"	"YAL002W"	"S. cerevisiae"	"VPS8"	"Vacuolar Protein Sorting"	"Membrane-binding component of the CORVET complex"	"Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif"	"Verified"	"A GTPase binding protein anchor that is subunit of the CORVET endosomal tethering complex; involved in protein targeting during late endosome to vacuole transport|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant accumulates RNA of proton and protein transporters (PMA1, PTR2), has strong defect in vacuolar fragmentation; reduced protein function results in defective golgi to vacuole transport, via the pre-vacuolar compartment (PVC) and enlarged vacuoles; haploinsufficient"	"1769-YAL002W"	NA
"S000000003"	"YAL003W"	"S. cerevisiae"	"EFB1"	"Elongation Factor Beta"	"Translation elongation factor 1 beta"	"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants"	"Verified"	"Guanyl-nucleotide exchange factor subunit of the translation elongation factor 1 (EF-1) complex; functions in translation elongation and regulation of translational termination; moonlighting role as a regulator of the actin bundling activity of the EF-1 subunit eEF1A, encoded by TEF1 and TEF2|uniprot_proteome=UP000002311"	"Essential gene in S288C and W303 but non-essential in Sigma1278b; heterozygous null mutant displays both decreased growth and decreased resistance to starvation; disruption of complex formation with EF1A results in the loss of actin cables and patches and an increase in cell size"	"1770-YAL003W"	NA
"S000000004"	"YAL005C"	"S. cerevisiae"	"SSA1"	"Stress-Seventy subfamily A"	"ATPase involved in protein folding and NLS-directed nuclear transport"	"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"	"Verified"	"ATPase subunit of the chaperonin-containing T-complex (CCT, TriC); involved in protein folding, nuclear import, stress granule disassembly, and clathrin coat disassembly; localizes to many places in the cell, including the cell wall, vacuolar and plasma membranes, and the nucleus|uniprot_proteome=UP000002311"	"Non-essential gene; both null and dominant negative mutants have an increased accumulation of prions; overexpression results in larger aggregates in fewer numbers; heterozygous diploid mutant had decreased fitness"	"1771-YAL005C_NumOfGenes_3"	NA
"S000000005"	"YAL007C"	"S. cerevisiae"	"ERP2"	"Emp24p/Erv25p Related Protein"	"Member of the p24 family involved in ER to Golgi transport"	"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication"	"Verified"	"Component of the COP II vesicle that is involved in ER to Golgi vesicle mediated transport of Gas1p and retention of Kar2 (BIP) in the ER|uniprot_proteome=UP000002311"	"Non-essential gene; null mutant is defective in Golgi-to-ER transport and protein processing"	"1772-YAL007C"	NA
"S000000006"	"YAL008W"	"S. cerevisiae"	"FUN14"	"Function Unknown Now"	"Integral mitochondrial outer membrane (MOM) protein"	"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"	"Verified"	"Integral component of the mitochondrial outer membrane involved in mitochondrial organization and phopholipid homeostasis|uniprot_proteome=UP000002311"	"Non-essential gene; heterozygous null mutant shows decreased fitness; null mutant displays increased competitive fitness on minimal media; overexpression results in a G1 phase arrest or delay"	"1773-YAL008W"	NA
"S000000007"	"YAL009W"	"S. cerevisiae"	"SPO7"	"SPOrulation"	"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme"	"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"	"Verified"	"Subunit of the membrane Nem1-Spo7 phosphoprotein phosphatase complex involved in nuclear envelope organization and regulation of phospholipid biosynthesis; positive regulator of phosphatidate phosphatase|uniprot_proteome=UP000002311"	"Non-essential gene; null and conditional mutants have decreased sporulation efficiency; null mutants display abnormal nuclear and endoplasmic reticulum morpholgies; heterozygous null mutant displays decreased fitness"	"1774-YAL009W"	NA
"S000000008"	"YAL010C"	"S. cerevisiae"	"MDM10"	"Mitochondrial Distribution and Morphology"	"Subunit of both the ERMES and the SAM complex"	"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"	"Verified"	"Protein with a role in mitochondrion organization, localization, tethering to the endoplasmic reticulum (ER), and assembly of mitochondrial outer membrane translocase complex with Tom22p; found in ERMES and mitochondrial sorting and assembly machinery complexes|uniprot_proteome=UP000002311"	"Non-essential gene; mitochondria are large and aggregated and peroxisomes are smaller in null and conditional mutants; null mutants also show defects in mitophagy"	"1775-YAL010C"	NA
"S000000009"	"YAL011W"	"S. cerevisiae"	"SWC3"	"SWr Complex"	"Protein of unknown function"	"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"	"Verified"	NA	NA	"1776-YAL011W"	NA
"S000000010"	"YAL012W"	"S. cerevisiae"	"CYS3"	"CYStathionine gamma-lyase"	"Cystathionine gamma-lyase"	"Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress"	"Verified"	"Cystathionine gamma-lyase involved in transsulfuration and cysteine biosynthesis; localizes to both the nucleus and cytoplasm|uniprot_proteome=UP000002311"	NA	"1777-YAL012W"	NA
"S000000011"	"YAL013W"	"S. cerevisiae"	"DEP1"	"Disability in regulation of Expression of genes involved in Phospholipid biosynthesis"	"Component of the Rpd3L histone deacetylase complex"	"Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation"	"Verified"	NA	"Non-essential gene; null mutant has increased acetylation of histone H4 and increased silencing at telomeres, rDNA and HMR loci"	"1778-YAL013W"	NA
"S000000012"	"YAL014C"	"S. cerevisiae"	"SYN8"	"SYNtaxin"	"Endosomal SNARE related to mammalian syntaxin 8"	"Endosomal SNARE related to mammalian syntaxin 8"	"Verified"	NA	"Non-essential gene; vacuolar protein import is defective in the null mutant; null mutant has higher resistance to low pH"	"1779-YAL014C"	NA
