"panID"	"EC"	"rxn"	"rxn_rhea"
"7-EC1118_1F14_0089g"	"3.5.3.11"	"   Agmatine + H(2)O = putrescine + urea.;"	"13929"
"27-EC1118_1O4_6612g"	"1.1.1.138"	"   D-mannitol + NADP(+) = D-fructose + NADPH.;"	"16765"
"49-MEL1-R.14846-"	"3.2.1.22"	"   Hydrolysis of terminal, non-reducing alpha-D-galactose residues in alpha-    D-galactosides, including galactose oligosaccharides, galactomannans and    galactolipids.;"	"NA"
"144-augustus_masked-182-ABQ_6"	"2.7.1.95"	"   ATP + kanamycin = ADP + kanamycin 3'-phosphate.;"	"24256"
"249-augustus_masked-4896-BLT_2"	"1.1.1.138"	"   D-mannitol + NADP(+) = D-fructose + NADPH.;"	"16765"
"250-augustus_masked-4896-BLT_2"	"2.6.1.3"	"   L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.;    L-cysteine + 2-oxoglutarate = mercaptopyruvate + L-glutamate.;"	"17441;21824"
"586-snap_masked-1768-ATP_4"	"3.2.1.22"	"   Hydrolysis of terminal, non-reducing alpha-D-galactose residues in alpha-    D-galactosides, including galactose oligosaccharides, galactomannans and    galactolipids.;"	"NA"
"905-augustus_masked-BIL_3-4712"	"3.2.1.22"	"   Hydrolysis of terminal, non-reducing alpha-D-galactose residues in alpha-    D-galactosides, including galactose oligosaccharides, galactomannans and    galactolipids.;"	"NA"
"906-augustus_masked-BIL_3-4712"	"3.2.1.22"	"   Hydrolysis of terminal, non-reducing alpha-D-galactose residues in alpha-    D-galactosides, including galactose oligosaccharides, galactomannans and    galactolipids.;"	"NA"
"979-augustus_masked-BCD_8-12448"	"4.1.1.64"	"   2,2-dialkylglycine + pyruvate = dialkyl ketone + CO(2) + L-alanine.;"	"16073"
"1063-augustus_masked-CMG_6-37743"	"3.2.1.21"	"   Hydrolysis of terminal, non-reducing beta-D-glucosyl residues with    release of beta-D-glucose.;"	"NA"
"1083-augustus_masked-BPL_2-7584"	"3.2.1.22"	"   Hydrolysis of terminal, non-reducing alpha-D-galactose residues in alpha-    D-galactosides, including galactose oligosaccharides, galactomannans and    galactolipids.;"	"NA"
