"panID"	"ID"	"pident"	"length"	"mismatch"	"gapopen"	"qstart"	"qend"	"sstart"	"send"	"evalues"	"bitscore"	"ec"	"annotation"
"29-EC1118_1O4_6634g"	"gnl|TC-DB|Q8NJ22|2.A.1.1.33"	67.6	561	171	4	13	1680	2	556	7.2e-209	723.4	"2.A.1.1.33"	"Hexose transporter (Similarity) - Kluyveromyces lactis (Yeast)."
"29-EC1118_1O4_6634g"	"gnl|TC-DB|A8DCT2|2.A.1.1.126"	50.1	543	263	5	67	1683	5	543	1.9e-140	496.1	"2.A.1.1.126"	"Putative sugar transporter OS=Gibberella moniliformis GN=FST1 PE=3 SV=1"
"29-EC1118_1O4_6634g"	"gnl|TC-DB|Q0ULF7|2.A.1.1.70"	48.7	557	265	7	13	1665	2	543	1.7e-138	489.6	"2.A.1.1.70"	"Putative uncharacterized protein OS=Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) GN=SNOG_07407 PE=3 SV=1"
"46-PUT_LAC_TRASP-R.14850-"	"gnl|TC-DB|P07921|2.A.1.1.9"	46.7	486	259	0	618	2075	58	543	1.5e-128	457.2	"2.A.1.1.9"	"Lactose permease - Kluyveromyces lactis (Yeast)."
"153-augustus_masked-2075-ARN_6"	"gnl|TC-DB|Q8J0V1|2.A.1.1.57"	48.8	492	232	5	58	1476	18	508	1e-124	443.7	"2.A.1.1.57"	"Monosaccharide transporter - Aspergillus niger."
"153-augustus_masked-2075-ARN_6"	"gnl|TC-DB|G4N740|2.A.1.1.117"	46	496	257	2	19	1485	3	494	2.4e-118	422.5	"2.A.1.1.117"	"Glucose transporter rco-3 OS=Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) GN=MGG_03620 PE=3 SV=1"
"287-augustus_masked-6649-CPA_4"	"gnl|TC-DB|Q874B4|2.A.1.3.71"	45.3	287	154	3	100	954	28	313	7.3e-65	244.2	"2.A.1.3.71"	"Drug efflux permease KNQ1 OS=Kluyveromyces lactis PE=4 SV=1"
"595-snap_masked-2218-BDE_8"	"gnl|TC-DB|P07921|2.A.1.1.9"	45.5	134	70	2	130	528	57	188	7.4e-27	117.1	"2.A.1.1.9"	"Lactose permease - Kluyveromyces lactis (Yeast)."
"720-augustus_masked-CFC_2-43056"	"gnl|TC-DB|Q8J0V1|2.A.1.1.57"	49.9	505	233	5	55	1512	17	520	1.6e-130	463	"2.A.1.1.57"	"Monosaccharide transporter - Aspergillus niger."
"794-augustus_masked-CPA_4-16604"	"gnl|TC-DB|Q6BYD8|2.A.38.2.4"	52.7	509	189	6	766	2268	570	1034	1.6e-139	493.4	"2.A.38.2.4"	"DhTRK1 protein - Debaryomyces hansenii (Yeast) (Torulaspora hansenii)."
"832-augustus_masked-BBM_6-7257"	"gnl|TC-DB|O13657|1.A.35.2.3"	56.6	113	48	1	10	345	684	796	2.3e-31	132.1	"1.A.35.2.3"	"Putative metal ion transporter C27B12.12c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=pi066 PE=1 SV=1"
"1012-augustus_masked-CEG_4-7368"	"gnl|TC-DB|O74849|2.A.1.1.22"	49.7	149	71	2	7	450	336	481	4.2e-38	154.5	"2.A.1.1.22"	"High-affinity fructose transporter ght6 (Hexose transporter 6) - Schizosaccharomyces pombe (Fission yeast)."
